PSNR,init_snr,init_sd,iter,sum
13.943343582369355,10.0,2.0,0.0,4047719.424591741
15.302237925312077,10.0,2.0,8.0,4099096.5
15.649437144487344,10.0,2.0,16.0,4105037.75
15.98885101935223,10.0,2.0,32.0,4105630.0
16.084680643636304,10.0,2.0,64.0,4104333.0
15.894770817353256,10.0,2.0,128.0,4102827.5
15.325155823371805,10.0,2.0,256.0,4102535.75
14.15594813255786,10.0,2.0,512.0,4104730.75
12.232674930994222,10.0,2.0,1024.0,4108505.5
13.872025233509417,10.0,0.0,0.0,4052056.566877974
15.306505589758848,10.0,0.0,8.0,4101887.5
15.6409130109156,10.0,0.0,16.0,4108194.5
15.940160998922268,10.0,0.0,32.0,4109849.5
15.958124456742526,10.0,0.0,64.0,4110568.0
15.62520613624686,10.0,0.0,128.0,4112106.0
14.774106687277973,10.0,0.0,256.0,4115541.25
13.241929275747442,10.0,0.0,512.0,4121630.0
11.093580945079061,10.0,0.0,1024.0,4128803.25
15.20497618975735,20.0,25.0,0.0,2586571.212208861
16.912747637096782,20.0,25.0,8.0,2624208.0
17.37798088557971,20.0,25.0,16.0,2628891.25
18.107132778721233,20.0,25.0,32.0,2631466.25
18.66832611610726,20.0,25.0,64.0,2632063.75
18.802418202509166,20.0,25.0,128.0,2631509.0
18.513837236357528,20.0,25.0,256.0,2630983.0
17.222378773148197,20.0,25.0,512.0,2630727.5
14.495352286371833,20.0,25.0,1024.0,2630615.5
15.205697259154059,20.0,20.0,0.0,2586570.7881512744
16.91194302347727,20.0,20.0,8.0,2624207.5
17.37413063850241,20.0,20.0,16.0,2628902.5
18.09781528119145,20.0,20.0,32.0,2631519.25
18.652010557976123,20.0,20.0,64.0,2632196.75
18.779424159710278,20.0,20.0,128.0,2631758.75
18.488906900696588,20.0,20.0,256.0,2631404.25
17.208074689586624,20.0,20.0,512.0,2631414.75
14.488497596118075,20.0,20.0,1024.0,2631515.5
15.200172584144573,20.0,15.0,0.0,2586691.5828354764
16.913643852981807,20.0,15.0,8.0,2624333.0
17.377281406398048,20.0,15.0,16.0,2629006.75
18.105181242228866,20.0,15.0,32.0,2631646.0
18.663547725312334,20.0,15.0,64.0,2632443.25
18.78319842515414,20.0,15.0,128.0,2632358.25
18.45606599098504,20.0,15.0,256.0,2632650.75
17.122308815652847,20.0,15.0,512.0,2633271.25
14.372309604668686,20.0,15.0,1024.0,2633679.75
15.17989342393409,20.0,10.0,0.0,2587576.8530984838
16.912109083982905,20.0,10.0,8.0,2625516.5
17.372862028103317,20.0,10.0,16.0,2630404.75
18.08302450708294,20.0,10.0,32.0,2633432.0
18.599322026269387,20.0,10.0,64.0,2634722.0
18.63438376325592,20.0,10.0,128.0,2635127.25
18.158984041318607,20.0,10.0,256.0,2635605.5
16.655526575377294,20.0,10.0,512.0,2635997.5
